epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.8612,1.17951,3.01499,1.41307,0.61198,0.86199,0.88778,0.62113,1.39178,1.33117,1.24621,0,0,0
2,3.31711,1.37688,2.96491,1.6589,0.60357,0.8795,0.88807,0.61531,1.40161,1.34908,1.25013,9.5438e-07,9.5438e-07,9.5438e-07
3,4.74432,1.46227,2.39834,1.80552,0.59292,0.87452,0.88795,0.61747,1.43071,1.37185,1.26955,1.43752e-06,1.43752e-06,1.43752e-06
4,6.00638,1.55891,2.90981,1.81602,0.54905,0.83333,0.87236,0.59664,1.4627,1.40751,1.28008,1.44942e-06,1.44942e-06,1.44942e-06
5,7.26879,1.4358,2.54757,1.68079,0.67642,0.75,0.87225,0.58083,1.50238,1.47208,1.31001,9.9008e-07,9.9008e-07,9.9008e-07
